id,title,titleeng,titlerus,whours1,whours2,is_mandatory,urlru,urlgeo,urleng
1,თბილისი,Tbilisi,Тбилиси,"41.722518, 44.791733",60,1,Tbilisi,tbilisi,Tbilisi
2,ქუთაისი,Kutaisi,Кутаиси,"42.231473, 42.711896",60,1,Kutaisi,kutaisi,Kutaisi
3,ბათუმი,Batumi,Батуми,"41.640436, 41.623069",60,1,Batumi,batumi,Batumi
4,მარნეული,Marneuli,Марнеули,"41.481305, 44.793519",60,1,Marneuli,marneuli,Marneuli
5,აბასთუმანი,Abastumani,Абастумани,"41.754998, 42.831950",120,1,Abastumani,abastumani,Abastumani
6,ადიგენი,Adigeni,Адигени,"41.676974, 42.707162",60,1,Adigeni,adigeni,Adigeni
8,ახმეტა,Akhmeta,Ахмета,"42.034983, 45.208526",60,1,Ahmeta,akhmeta,Akhmeta
9,ასპინძა,Aspindza,Аспинза,"41.575853, 43.248029",90,1,Aspinza,aspindza,Aspindza
10,ალავერდის მონასტერი,Alaverdi Monastery,Алаверди  Монастырь ,"42.032483, 45.377130",120,1,Alaverdi_Monastyr,alaverdis_monasteri,Alaverdi_Monastery
12,გორი,Gori,Гори,"41.987402, 44.114597",90,1,Gori,gori,Gori
13,ახაშენი,Akhasheni,Ахашени,"41.793661, 45.757574",60,1,Ahasheni,akhasheni,Akhasheni
14,ანაკლია,Anaklia,Анаклия,"42.397662, 41.582823",120,1,Anaklija,anaklia,Anaklia
15,ანანური,Ananuri,Ананури,"42.173899, 44.693670",45,1,Ananuri,ananuri,Ananuri
16,ატენი სიონი,Ateni Sioni,Атенский Сион,"41.904366, 44.096225",90,1,Atenskij_Sion,ateni_sioni,Ateni_Sioni
17,ბაბანეური,Babaneuri,Бабанеури,"42.083157, 45.380904",60,1,Babaneuri,babaneuri,Babaneuri
18,ბაგრატის ტაძარი,Bagrati Cathedral,Храм Баграта,"42.277257, 42.704179",90,1,Hram_Bagrata,bagratis_tadzari,Bagrati_Cathedral
20,ბათუმის აეროპორტი,Batumi Airport,Аэропорт Батуми,"41.609003, 41.613351",60,1,Ajeroport_Batumi,batumis_aeroporti,Batumi_Airport
22,ბეთანია,Betania,Бетания,"41.690061, 44.611542",90,1,Betanija,betania,Betania
23,ბირთვისი ,Birtvisi,Биртвиси,"41.610061, 44.533886",90,1,Birtvisi,birtvisi,Birtvisi
24,ბოდბის მონასტერი,Bodbe Monastery,Бодбе  Монастырь ,"41.606530, 45.933438",120,1,Bodbe_Monastyr,bodbis_monasteri,Bodbe_Monastery
25,ბოლნისის სიონი,Bolnisi Sioni,Болнисский Сион,"41.388879, 44.512444",90,1,Bolnisskij_Sion,bolnisis_sioni,Bolnisi_Sioni
26,ბორჯომი,Borjomi,Боржоми,"41.839983, 43.385337",90,1,Borzhomi,borjomi,Borjomi
27,ბახმარო,Bakhmaro,Бахмаро,"41.851606, 42.324411",120,1,Bahmaro,bakhmaro,Bakhmaro
28,ორთაჭალის ცენტრალური სადგური,Central Bus Station Ortachala,Автовокзал Ортачала,"41.674744, 44.834733",60,1,Avtovokzal_Ortachala,ortachalis_tsentraluri_sadguri,Central_Bus_Station_Ortachala
29,ჩაქვი,Chakvi,Чакви,"41.734192, 41.733107",60,1,Chakvi,chakvi,Chakvi
30,მეღვინეობა შატო მუხრანი,Chateau Mukhrani Winery,Шато Мухрани Винзавод ,"41.942473, 44.585207",120,1,Shato_Muhrani_Vinzavod,meghvineoba_shato_mukhrani,Chateau_Mukhrani_Winery
31,ჭიათურა,Chiatura,Чиатура,"42.290952, 43.290792",60,1,Chiatura,chiatura,Chiatura
32,დადიანების სასახლე,Dadiani Palace,Дворец Дадиани,"42.513183, 41.873054",60,1,Dvorec_Dadiani,dadianebis_sasakhle,Dadiani_Palace
33,დარიალი,Dariali,Дариали,"42.736547, 44.630501",60,1,Dariali,dariali,Dariali
34,დაშბაშის კანიონი,Dashbashi Canyon,Каньон Дашбаши,"41.593895, 44.121715",120,1,Kanon_Dashbashi,dashbashis_kanioni,Dashbashi_Canyon
35,დავითგარეჯის მონასტერი,Davidgaredja Monastery,Давид-Гареджийский Монастырь,"41.447575, 45.376185",180,1,David-Garedzhijskij_Monastyr,davitgarejis_monasteri,Davidgaredja_Monastery
36,დმანისი,Dmanisi,Дманиси,"41.332094, 44.204994",60,1,Dmanisi,dmanisi,Dmanisi
38,მეგობრობის მონუმენტი,Friendship Monument,Арка Дружбы Народов,"42.494080, 44.452339",45,1,Arka_Druzhby_Narodov,megobrobis_monumenti,Friendship_Monument
39,გარდაბანი,Gardabani,Гардабани,"41.463587, 45.088490",60,1,Gardabani,gardabani,Gardabani
40,გელათის მონასტერი,Gelati Monastery,Гелати  Монастырь ,"42.294739, 42.769139",60,1,Gelati_Monastyr,gelatis_monasteri,Gelati_Monastery
42,მეღვინეობა გრანელი,Graneli Winery,Гранели Винзавод ,"41.936617, 45.830042",120,1,Graneli_Vinzavod,meghvineoba_graneli,Graneli_Winery
43,გრემი,Gremi,Греми,"42.001798, 45.660735",120,1,Gremi,gremi,Gremi
44,გრიგოლეთი,Grigoleti,Григолети,"42.040403, 41.736127",60,1,Grigoleti,grigoleti,Grigoleti
45,გუდაური,Gudauri,Гудаури,"42.476244, 44.478075",60,1,Gudauri,gudauri,Gudauri
46,გველეთის ჩანჩქერი,Gveleti Waterfall,Гвелети Водопад ,"42.705349, 44.626719",120,1,Gveleti_Vodopad,gveletis_chanchkeri,Gveleti_Waterfall
48,იყალთო,Ikalto,Икалто,"41.949468, 45.392600",120,1,Ikalto,iqalto,Ikalto
49,სიღნაღი,Sighnaghi,Сигнаги,"41.617933, 45.921797",160,1,Signagi,sighnaghi,Sighnaghi
50,მეღვინეობა ხარება,Winery Khareba,Хареба Винодельня ,"41.937895, 45.836980",120,1,Hareba_Vinodelnja,meghvineoba_khareba,Winery_Khareba
51,თელავი,Telavi,Телави,"41.920690, 45.478180",120,1,Telavi,telavi,Telavi
52,ნეკრესი,Nekresi,Некреси,"41.972153, 45.767502",120,1,Nekresi,nekresi,Nekresi
53,ილიას ტბა ,Ilia Lake,Озеро Илии,"41.954365, 45.797136",120,1,Ozero_Ilii,ilias_tba,Ilia_Lake
54,ჯვარი,Jvari,Джвари,"41.838124, 44.734586",90,1,Dzhvari,jvari,Jvari
55,კაჭრეთი,Kachreti,Качрети,"41.636321, 45.683002",60,1,Kachreti,kachreti,Kachreti
56,კაცხის სვეტი,Katskhi Pillar,Кацхский Столп,"42.287161, 43.216127",120,1,Kachskij_Stolp,katskhis_sveti,Katskhi_Pillar
57,კაზრეთი,Kazreti,Казрети,"41.382555, 44.416738",60,1,Kazreti,kazreti,Kazreti
58,ხარაგაული,Kharagauli,Харагаули,"42.014194, 43.203349",60,1,Haragauli,kharagauli,Kharagauli
59,ხერთვისის ციხე,Khertvisi Fortress,Крепость Хертвиси,"41.479322, 43.284793",120,1,Krepost_Hertvisi,khertvisis_tsikhe,Khertvisi_Fortress
60,ხულო,Khulo,Хуло,"41.644359, 42.314808",60,1,Hulo,khulo,Khulo
